cfips,is_coastal
1001,False
1003,True
1005,False
1007,False
1009,False
1011,False
1013,False
1015,False
1017,False
1019,False
1021,False
1023,False
1025,False
1027,False
1029,False
1031,False
1033,False
1035,False
1037,False
1039,False
1041,False
1043,False
1045,False
1047,False
1049,False
1051,False
1053,False
1055,False
1057,False
1059,False
1061,False
1063,False
1065,False
1067,False
1069,False
1071,False
1073,False
1075,False
1077,False
1079,False
1081,False
1083,False
1085,False
1087,False
1089,False
1091,False
1093,False
1095,False
1097,True
1099,False
1101,False
1103,False
1105,False
1107,False
1109,False
1111,False
1113,False
1115,False
1117,False
1119,False
1121,False
1123,False
1125,False
1127,False
1129,False
1131,False
1133,False
2013,True
2016,True
2020,True
2050,True
2060,True
2068,False
2070,True
2090,False
2100,True
2105,True
2110,True
2122,True
2130,True
2150,True
2164,True
2170,True
2180,True
2185,True
2188,True
2195,True
2198,True
2220,True
2230,True
2240,False
2275,True
2282,True
2290,False
4001,False
4003,False
4005,False
4007,False
4009,False
4011,False
4012,False
4013,False
4015,False
4017,False
4019,False
4021,False
4023,False
4025,False
4027,False
5001,False
5003,False
5005,False
5007,False
5009,False
5011,False
5013,False
5015,False
5017,False
5019,False
5021,False
5023,False
5025,False
5027,False
5029,False
5031,False
5033,False
5035,False
5037,False
5039,False
5041,False
5043,False
5045,False
5047,False
5049,False
5051,False
5053,False
5055,False
5057,False
5059,False
5061,False
5063,False
5065,False
5067,False
5069,False
5071,False
5073,False
5075,False
5077,False
5079,False
5081,False
5083,False
5085,False
5087,False
5089,False
5091,False
5093,False
5095,False
5097,False
5099,False
5101,False
5103,False
5105,False
5107,False
5109,False
5111,False
5113,False
5115,False
5117,False
5119,False
5121,False
5123,False
5125,False
5127,False
5129,False
5131,False
5133,False
5135,False
5137,False
5139,False
5141,False
5143,False
5145,False
5147,False
5149,False
6001,True
6003,False
6005,False
6007,False
6009,False
6011,False
6013,True
6015,True
6017,False
6019,False
6021,False
6023,True
6025,False
6027,False
6029,False
6031,False
6033,False
6035,False
6037,True
6039,False
6041,True
6043,False
6045,True
6047,False
6049,False
6051,False
6053,True
6055,False
6057,False
6059,True
6061,False
6063,False
6065,False
6067,False
6069,False
6071,False
6073,True
6075,True
6077,False
6079,True
6081,True
6083,True
6085,True
6087,True
6089,False
6091,False
6093,False
6095,True
6097,True
6099,False
6101,False
6103,False
6105,False
6107,False
6109,False
6111,True
6113,False
6115,False
8001,False
8003,False
8005,False
8007,False
8009,False
8011,False
8013,False
8014,False
8015,False
8017,False
8019,False
8021,False
8023,False
8025,False
8027,False
8029,False
8031,False
8033,False
8035,False
8037,False
8039,False
8041,False
8043,False
8045,False
8047,False
8049,False
8051,False
8053,False
8055,False
8057,False
8059,False
8061,False
8063,False
8065,False
8067,False
8069,False
8071,False
8073,False
8075,False
8077,False
8079,False
8081,False
8083,False
8085,False
8087,False
8089,False
8091,False
8093,False
8095,False
8097,False
8099,False
8101,False
8103,False
8105,False
8107,False
8109,False
8111,False
8113,False
8115,False
8117,False
8119,False
8121,False
8123,False
8125,False
9001,True
9003,False
9005,False
9007,True
9009,True
9011,True
9013,False
9015,False
10001,True
10003,True
10005,True
11001,False
12001,False
12003,False
12005,True
12007,False
12009,True
12011,True
12013,False
12015,True
12017,True
12019,False
12021,True
12023,False
12027,False
12029,True
12031,True
12033,True
12035,True
12037,True
12039,False
12041,False
12043,False
12045,True
12047,False
12049,False
12051,False
12053,True
12055,False
12057,True
12059,False
12061,True
12063,False
12065,True
12067,False
12069,False
12071,True
12073,False
12075,True
12077,False
12079,False
12081,True
12083,False
12085,True
12086,True
12087,True
12089,True
12091,True
12093,False
12095,False
12097,False
12099,True
12101,True
12103,True
12105,False
12107,False
12109,True
12111,True
12113,True
12115,True
12117,False
12119,False
12121,False
12123,True
12125,False
12127,True
12129,True
12131,True
12133,False
13001,False
13003,False
13005,False
13007,False
13009,False
13011,False
13013,False
13015,False
13017,False
13019,False
13021,False
13023,False
13025,False
13027,False
13029,True
13031,False
13033,False
13035,False
13037,False
13039,True
13043,False
13045,False
13047,False
13049,False
13051,True
13053,False
13055,False
13057,False
13059,False
13061,False
13063,False
13065,False
13067,False
13069,False
13071,False
13073,False
13075,False
13077,False
13079,False
13081,False
13083,False
13085,False
13087,False
13089,False
13091,False
13093,False
13095,False
13097,False
13099,False
13101,False
13103,False
13105,False
13107,False
13109,False
13111,False
13113,False
13115,False
13117,False
13119,False
13121,False
13123,False
13125,False
13127,True
13129,False
13131,False
13133,False
13135,False
13137,False
13139,False
13141,False
13143,False
13145,False
13147,False
13149,False
13151,False
13153,False
13155,False
13157,False
13159,False
13161,False
13163,False
13165,False
13167,False
13169,False
13171,False
13173,False
13175,False
13177,False
13179,True
13181,False
13183,False
13185,False
13187,False
13189,False
13191,True
13193,False
13195,False
13197,False
13199,False
13201,False
13205,False
13207,False
13209,False
13211,False
13213,False
13215,False
13217,False
13219,False
13221,False
13223,False
13225,False
13227,False
13229,False
13231,False
13233,False
13235,False
13237,False
13239,False
13241,False
13243,False
13245,False
13247,False
13249,False
13251,False
13253,False
13255,False
13257,False
13259,False
13261,False
13263,False
13265,False
13267,False
13269,False
13271,False
13273,False
13275,False
13277,False
13279,False
13281,False
13283,False
13285,False
13287,False
13289,False
13291,False
13293,False
13295,False
13297,False
13299,False
13301,False
13303,False
13305,False
13307,False
13309,False
13311,False
13313,False
13315,False
13317,False
13319,False
13321,False
15001,True
15003,True
15005,True
15007,True
15009,True
16001,False
16003,False
16005,False
16007,False
16009,False
16011,False
16013,False
16015,False
16017,False
16019,False
16021,False
16023,False
16025,False
16027,False
16029,False
16031,False
16033,False
16035,False
16037,False
16039,False
16041,False
16043,False
16045,False
16047,False
16049,False
16051,False
16053,False
16055,False
16057,False
16059,False
16061,False
16063,False
16065,False
16067,False
16069,False
16071,False
16073,False
16075,False
16077,False
16079,False
16081,False
16083,False
16085,False
16087,False
17001,False
17003,False
17005,False
17007,False
17009,False
17011,False
17013,False
17015,False
17017,False
17019,False
17021,False
17023,False
17025,False
17027,False
17029,False
17031,False
17033,False
17035,False
17037,False
17039,False
17041,False
17043,False
17045,False
17047,False
17049,False
17051,False
17053,False
17055,False
17057,False
17059,False
17061,False
17063,False
17065,False
17067,False
17069,False
17071,False
17073,False
17075,False
17077,False
17079,False
17081,False
17083,False
17085,False
17087,False
17089,False
17091,False
17093,False
17095,False
17097,False
17099,False
17101,False
17103,False
17105,False
17107,False
17109,False
17111,False
17113,False
17115,False
17117,False
17119,False
17121,False
17123,False
17125,False
17127,False
17129,False
17131,False
17133,False
17135,False
17137,False
17139,False
17141,False
17143,False
17145,False
17147,False
17149,False
17151,False
17153,False
17155,False
17157,False
17159,False
17161,False
17163,False
17165,False
17167,False
17169,False
17171,False
17173,False
17175,False
17177,False
17179,False
17181,False
17183,False
17185,False
17187,False
17189,False
17191,False
17193,False
17195,False
17197,False
17199,False
17201,False
17203,False
18001,False
18003,False
18005,False
18007,False
18009,False
18011,False
18013,False
18015,False
18017,False
18019,False
18021,False
18023,False
18025,False
18027,False
18029,False
18031,False
18033,False
18035,False
18037,False
18039,False
18041,False
18043,False
18045,False
18047,False
18049,False
18051,False
18053,False
18055,False
18057,False
18059,False
18061,False
18063,False
18065,False
18067,False
18069,False
18071,False
18073,False
18075,False
18077,False
18079,False
18081,False
18083,False
18085,False
18087,False
18089,False
18091,False
18093,False
18095,False
18097,False
18099,False
18101,False
18103,False
18105,False
18107,False
18109,False
18111,False
18113,False
18115,False
18117,False
18119,False
18121,False
18123,False
18125,False
18127,False
18129,False
18131,False
18133,False
18135,False
18137,False
18139,False
18141,False
18143,False
18145,False
18147,False
18149,False
18151,False
18153,False
18155,False
18157,False
18159,False
18161,False
18163,False
18165,False
18167,False
18169,False
18171,False
18173,False
18175,False
18177,False
18179,False
18181,False
18183,False
19001,False
19003,False
19005,False
19007,False
19009,False
19011,False
19013,False
19015,False
19017,False
19019,False
19021,False
19023,False
19025,False
19027,False
19029,False
19031,False
19033,False
19035,False
19037,False
19039,False
19041,False
19043,False
19045,False
19047,False
19049,False
19051,False
19053,False
19055,False
19057,False
19059,False
19061,False
19063,False
19065,False
19067,False
19069,False
19071,False
19073,False
19075,False
19077,False
19079,False
19081,False
19083,False
19085,False
19087,False
19089,False
19091,False
19093,False
19095,False
19097,False
19099,False
19101,False
19103,False
19105,False
19107,False
19109,False
19111,False
19113,False
19115,False
19117,False
19119,False
19121,False
19123,False
19125,False
19127,False
19129,False
19131,False
19133,False
19135,False
19137,False
19139,False
19141,False
19143,False
19145,False
19147,False
19149,False
19151,False
19153,False
19155,False
19157,False
19159,False
19161,False
19163,False
19165,False
19167,False
19169,False
19171,False
19173,False
19175,False
19177,False
19179,False
19181,False
19183,False
19185,False
19187,False
19189,False
19191,False
19193,False
19195,False
19197,False
20001,False
20003,False
20005,False
20007,False
20009,False
20011,False
20013,False
20015,False
20017,False
20019,False
20021,False
20023,False
20025,False
20027,False
20029,False
20031,False
20033,False
20035,False
20037,False
20039,False
20041,False
20043,False
20045,False
20047,False
20049,False
20051,False
20053,False
20055,False
20057,False
20059,False
20061,False
20063,False
20065,False
20067,False
20069,False
20071,False
20073,False
20075,False
20077,False
20079,False
20081,False
20083,False
20085,False
20087,False
20089,False
20091,False
20093,False
20095,False
20097,False
20099,False
20101,False
20103,False
20105,False
20107,False
20109,False
20111,False
20113,False
20115,False
20117,False
20119,False
20121,False
20123,False
20125,False
20127,False
20129,False
20131,False
20133,False
20135,False
20137,False
20139,False
20141,False
20143,False
20145,False
20147,False
20149,False
20151,False
20153,False
20155,False
20157,False
20159,False
20161,False
20163,False
20165,False
20167,False
20169,False
20171,False
20173,False
20175,False
20177,False
20179,False
20181,False
20183,False
20185,False
20187,False
20189,False
20191,False
20193,False
20195,False
20197,False
20199,False
20201,False
20203,False
20205,False
20207,False
20209,False
21001,False
21003,False
21005,False
21007,False
21009,False
21011,False
21013,False
21015,False
21017,False
21019,False
21021,False
21023,False
21025,False
21027,False
21029,False
21031,False
21033,False
21035,False
21037,False
21039,False
21041,False
21043,False
21045,False
21047,False
21049,False
21051,False
21053,False
21055,False
21057,False
21059,False
21061,False
21063,False
21065,False
21067,False
21069,False
21071,False
21073,False
21075,False
21077,False
21079,False
21081,False
21083,False
21085,False
21087,False
21089,False
21091,False
21093,False
21095,False
21097,False
21099,False
21101,False
21103,False
21105,False
21107,False
21109,False
21111,False
21113,False
21115,False
21117,False
21119,False
21121,False
21123,False
21125,False
21127,False
21129,False
21131,False
21133,False
21135,False
21137,False
21139,False
21141,False
21143,False
21145,False
21147,False
21149,False
21151,False
21153,False
21155,False
21157,False
21159,False
21161,False
21163,False
21165,False
21167,False
21169,False
21171,False
21173,False
21175,False
21177,False
21179,False
21181,False
21183,False
21185,False
21187,False
21189,False
21191,False
21193,False
21195,False
21197,False
21199,False
21201,False
21203,False
21205,False
21207,False
21209,False
21211,False
21213,False
21215,False
21217,False
21219,False
21221,False
21223,False
21225,False
21227,False
21229,False
21231,False
21233,False
21235,False
21237,False
21239,False
22001,False
22003,False
22005,False
22007,False
22009,False
22011,False
22013,False
22015,False
22017,False
22019,False
22021,False
22023,True
22025,False
22027,False
22029,False
22031,False
22033,False
22035,False
22037,False
22039,False
22041,False
22043,False
22045,True
22047,False
22049,False
22051,True
22053,False
22055,False
22057,True
22059,False
22061,False
22063,False
22065,False
22067,False
22069,False
22071,True
22073,False
22075,True
22077,False
22079,False
22081,False
22083,False
22085,False
22087,True
22089,False
22091,False
22093,False
22095,False
22097,False
22099,False
22101,True
22103,True
22105,False
22107,False
22109,True
22111,False
22113,True
22115,False
22117,False
22119,False
22121,False
22123,False
22125,False
22127,False
23001,False
23003,False
23005,True
23007,False
23009,True
23011,False
23013,True
23015,True
23017,False
23019,False
23021,False
23023,True
23025,False
23027,True
23029,True
23031,True
24001,False
24003,True
24005,True
24009,True
24011,False
24013,False
24015,True
24017,True
24019,True
24021,False
24023,False
24025,True
24027,False
24029,True
24031,False
24033,False
24035,True
24037,True
24039,True
24041,True
24043,False
24045,True
24047,True
24510,True
25001,True
25003,False
25005,True
25007,True
25009,True
25011,False
25013,False
25015,False
25017,False
25019,True
25021,True
25023,True
25025,True
25027,False
26001,False
26003,False
26005,False
26007,False
26009,False
26011,False
26013,False
26015,False
26017,False
26019,False
26021,False
26023,False
26025,False
26027,False
26029,False
26031,False
26033,False
26035,False
26037,False
26039,False
26041,False
26043,False
26045,False
26047,False
26049,False
26051,False
26053,False
26055,False
26057,False
26059,False
26061,False
26063,False
26065,False
26067,False
26069,False
26071,False
26073,False
26075,False
26077,False
26079,False
26081,False
26083,False
26085,False
26087,False
26089,False
26091,False
26093,False
26095,False
26097,False
26099,False
26101,False
26103,False
26105,False
26107,False
26109,False
26111,False
26113,False
26115,False
26117,False
26119,False
26121,False
26123,False
26125,False
26127,False
26129,False
26131,False
26133,False
26135,False
26137,False
26139,False
26141,False
26143,False
26145,False
26147,False
26149,False
26151,False
26153,False
26155,False
26157,False
26159,False
26161,False
26163,False
26165,False
27001,False
27003,False
27005,False
27007,False
27009,False
27011,False
27013,False
27015,False
27017,False
27019,False
27021,False
27023,False
27025,False
27027,False
27029,False
27031,False
27033,False
27035,False
27037,False
27039,False
27041,False
27043,False
27045,False
27047,False
27049,False
27051,False
27053,False
27055,False
27057,False
27059,False
27061,False
27063,False
27065,False
27067,False
27069,False
27071,False
27073,False
27075,False
27077,False
27079,False
27081,False
27083,False
27085,False
27087,False
27089,False
27091,False
27093,False
27095,False
27097,False
27099,False
27101,False
27103,False
27105,False
27107,False
27109,False
27111,False
27113,False
27115,False
27117,False
27119,False
27121,False
27123,False
27125,False
27127,False
27129,False
27131,False
27133,False
27135,False
27137,False
27139,False
27141,False
27143,False
27145,False
27147,False
27149,False
27151,False
27153,False
27155,False
27157,False
27159,False
27161,False
27163,False
27165,False
27167,False
27169,False
27171,False
27173,False
28001,False
28003,False
28005,False
28007,False
28009,False
28011,False
28013,False
28015,False
28017,False
28019,False
28021,False
28023,False
28025,False
28027,False
28029,False
28031,False
28033,False
28035,False
28037,False
28039,False
28041,False
28043,False
28045,True
28047,True
28049,False
28051,False
28053,False
28055,False
28057,False
28059,True
28061,False
28063,False
28065,False
28067,False
28069,False
28071,False
28073,False
28075,False
28077,False
28079,False
28081,False
28083,False
28085,False
28087,False
28089,False
28091,False
28093,False
28095,False
28097,False
28099,False
28101,False
28103,False
28105,False
28107,False
28109,False
28111,False
28113,False
28115,False
28117,False
28119,False
28121,False
28123,False
28125,False
28127,False
28129,False
28131,False
28133,False
28135,False
28137,False
28139,False
28141,False
28143,False
28145,False
28147,False
28149,False
28151,False
28153,False
28155,False
28157,False
28159,False
28161,False
28163,False
29001,False
29003,False
29005,False
29007,False
29009,False
29011,False
29013,False
29015,False
29017,False
29019,False
29021,False
29023,False
29025,False
29027,False
29029,False
29031,False
29033,False
29035,False
29037,False
29039,False
29041,False
29043,False
29045,False
29047,False
29049,False
29051,False
29053,False
29055,False
29057,False
29059,False
29061,False
29063,False
29065,False
29067,False
29069,False
29071,False
29073,False
29075,False
29077,False
29079,False
29081,False
29083,False
29085,False
29087,False
29089,False
29091,False
29093,False
29095,False
29097,False
29099,False
29101,False
29103,False
29105,False
29107,False
29109,False
29111,False
29113,False
29115,False
29117,False
29119,False
29121,False
29123,False
29125,False
29127,False
29129,False
29131,False
29133,False
29135,False
29137,False
29139,False
29141,False
29143,False
29145,False
29147,False
29149,False
29151,False
29153,False
29155,False
29157,False
29159,False
29161,False
29163,False
29165,False
29167,False
29169,False
29171,False
29173,False
29175,False
29177,False
29179,False
29181,False
29183,False
29185,False
29186,False
29187,False
29189,False
29195,False
29197,False
29199,False
29201,False
